year,month,doy,mday,hod,min,date,fm10,utc_prov,utc_rounded,hod_utc,doy_utc
1996,7,185,3,5,19,1996-07-03 05:19:00,9.5,1996-07-03 12:19:00,1996-07-03 12:00:00,12,185
1996,7,185,3,14,25,1996-07-03 14:25:00,5.1,1996-07-03 21:25:00,1996-07-03 21:00:00,21,185
1996,7,186,4,5,40,1996-07-04 05:40:00,8.0,1996-07-04 12:40:00,1996-07-04 13:00:00,13,186
1996,7,186,4,13,45,1996-07-04 13:45:00,4.8,1996-07-04 20:45:00,1996-07-04 21:00:00,21,186
1996,7,187,5,4,30,1996-07-05 04:30:00,6.7,1996-07-05 11:30:00,1996-07-05 12:00:00,12,187
1996,7,187,5,15,55,1996-07-05 15:55:00,4.0,1996-07-05 22:55:00,1996-07-05 23:00:00,23,187
1996,7,188,6,5,0,1996-07-06 05:00:00,5.8,1996-07-06 12:00:00,1996-07-06 12:00:00,12,188
1996,7,188,6,15,40,1996-07-06 15:40:00,4.3,1996-07-06 22:40:00,1996-07-06 23:00:00,23,188
1996,7,189,7,5,45,1996-07-07 05:45:00,14.8,1996-07-07 12:45:00,1996-07-07 13:00:00,13,189
1996,7,189,7,14,55,1996-07-07 14:55:00,7.2,1996-07-07 21:55:00,1996-07-07 22:00:00,22,189
1996,7,190,8,5,0,1996-07-08 05:00:00,12.4,1996-07-08 12:00:00,1996-07-08 12:00:00,12,190
1996,7,190,8,16,0,1996-07-08 16:00:00,7.7,1996-07-08 23:00:00,1996-07-08 23:00:00,23,190
1996,7,191,9,5,30,1996-07-09 05:30:00,46.4,1996-07-09 12:30:00,1996-07-09 12:00:00,12,191
1996,7,191,9,16,15,1996-07-09 16:15:00,50.8,1996-07-09 23:15:00,1996-07-09 23:00:00,23,191
1996,7,192,10,5,45,1996-07-10 05:45:00,57.1,1996-07-10 12:45:00,1996-07-10 13:00:00,13,192
1996,7,192,10,15,25,1996-07-10 15:25:00,53.8,1996-07-10 22:25:00,1996-07-10 22:00:00,22,192
1996,7,193,11,5,40,1996-07-11 05:40:00,54.1,1996-07-11 12:40:00,1996-07-11 13:00:00,13,193
1996,7,193,11,15,30,1996-07-11 15:30:00,19.5,1996-07-11 22:30:00,1996-07-11 22:00:00,22,193
1996,7,194,12,5,30,1996-07-12 05:30:00,35.7,1996-07-12 12:30:00,1996-07-12 12:00:00,12,194
1996,7,194,12,15,19,1996-07-12 15:19:00,12.0,1996-07-12 22:19:00,1996-07-12 22:00:00,22,194
1996,7,195,13,5,19,1996-07-13 05:19:00,21.0,1996-07-13 12:19:00,1996-07-13 12:00:00,12,195
1996,7,195,13,13,45,1996-07-13 13:45:00,33.0,1996-07-13 20:45:00,1996-07-13 21:00:00,21,195
1996,7,196,14,5,30,1996-07-14 05:30:00,32.6,1996-07-14 12:30:00,1996-07-14 12:00:00,12,196
1996,7,196,14,15,15,1996-07-14 15:15:00,11.6,1996-07-14 22:15:00,1996-07-14 22:00:00,22,196
1996,7,199,17,5,40,1996-07-17 05:40:00,10.9,1996-07-17 12:40:00,1996-07-17 13:00:00,13,199
1996,7,199,17,15,30,1996-07-17 15:30:00,7.3,1996-07-17 22:30:00,1996-07-17 22:00:00,22,199
1996,7,200,18,4,45,1996-07-18 04:45:00,10.2,1996-07-18 11:45:00,1996-07-18 12:00:00,12,200
1996,7,200,18,14,25,1996-07-18 14:25:00,6.5,1996-07-18 21:25:00,1996-07-18 21:00:00,21,200
1996,7,201,19,4,40,1996-07-19 04:40:00,12.1,1996-07-19 11:40:00,1996-07-19 12:00:00,12,201
1996,7,201,19,17,30,1996-07-19 17:30:00,8.1,1996-07-20 00:30:00,1996-07-20 00:00:00,0,202
1996,7,202,20,5,15,1996-07-20 05:15:00,11.9,1996-07-20 12:15:00,1996-07-20 12:00:00,12,202
1996,7,202,20,17,15,1996-07-20 17:15:00,6.2,1996-07-21 00:15:00,1996-07-21 00:00:00,0,203
1996,7,203,21,5,40,1996-07-21 05:40:00,11.1,1996-07-21 12:40:00,1996-07-21 13:00:00,13,203
1996,7,203,21,17,30,1996-07-21 17:30:00,6.1,1996-07-22 00:30:00,1996-07-22 00:00:00,0,204
