year,month,doy,mday,hod,min,date,solar,rain,rh,temp,vap.press,vpd,wind,vap.den,utc,hod_utc,doy_utc,Ed,Ew
1996,7,205,23,14,0,1996-07-23 14:00:00,513.0,0.0,40.0,306.75,2.0821120355701,3.12316805335514,2.17697309770862,0.295073794512941,1996-07-23 21:00:00,21,205,9.110072061964212,7.736334572437402
1996,7,205,23,15,0,1996-07-23 15:00:00,121.0,0.0,42.0,304.75,1.95353589164985,2.69774004084979,1.78115980721614,0.275047109096895,1996-07-23 22:00:00,22,205,9.84954810624393,8.46623725802418
1996,7,205,23,16,0,1996-07-23 16:00:00,127.0,0.0,48.0,303.65,2.09711643085572,2.27187613342703,1.68220648459302,0.294196704753955,1996-07-23 23:00:00,23,205,11.176142598130395,9.771473427798734
1996,7,205,23,17,0,1996-07-23 17:00:00,1.0,0.0,64.0,300.65,2.35101924964078,1.32244832792294,1.48429983934679,0.326557279080879,1996-07-24 00:00:00,0,206,14.711152565747904,13.281277460816227
1996,7,205,23,18,0,1996-07-23 18:00:00,0.0,0.0,67.0,299.65,2.32096526398612,1.14316199569465,1.88011312983926,0.321310485505289,1996-07-24 01:00:00,1,206,15.487588317836991,14.053518075621097
1996,7,205,23,19,0,1996-07-23 19:00:00,0.0,0.0,69.0,300.34999999999997,2.4905818835073,1.11895707809748,3.01807634000513,0.345597376144675,1996-07-24 02:00:00,2,206,15.77514735819047,14.337371454790711
1996,7,205,23,20,0,1996-07-23 20:00:00,0.0,0.0,76.0,299.65,2.63273671735739,0.831390542323385,2.91912301738201,0.364471595498537,1996-07-24 03:00:00,3,206,17.51342669468051,16.05073726871063
1996,7,205,23,21,0,1996-07-23 21:00:00,0.0,28.7,95.0,290.75,1.91299827146513,0.100684119550797,3.46336629180917,0.256966362311961,1996-07-24 04:00:00,4,206,27.645643569041386,25.759318709365136
1996,7,205,23,22,0,1996-07-23 22:00:00,0.0,5.84,95.0,290.84999999999997,1.92509945165924,0.101321023771539,3.61179627574385,0.258680811087972,1996-07-24 05:00:00,5,206,27.62764389308637,25.741319033410118
1996,7,205,23,23,0,1996-07-23 23:00:00,0.0,2.29,84.0,291.54999999999995,1.77876679452203,0.3388127227661,6.77830259968366,0.239592950031618,1996-07-24 06:00:00,6,206,21.42297615591707,19.88177631161424
1996,7,206,24,0,0,1996-07-24 00:00:00,0.0,0.0,80.0,292.45,1.79203585518435,0.448008963796087,3.01807634000513,0.242125369262082,1996-07-24 07:00:00,7,206,19.919448060492222,18.427338539266746
1996,7,206,24,1,0,1996-07-24 01:00:00,0.0,0.0,81.0,291.95,1.75872496318141,0.412540423462306,0.989533226231191,0.237218405886376,1996-07-24 08:00:00,8,206,20.319269890243792,18.817084967755843
1996,7,206,24,2,0,1996-07-24 02:00:00,0.0,0.0,86.0,291.15,1.77595075845322,0.289108263004013,1.8306364685277,0.238885445255529,1996-07-24 09:00:00,9,206,22.287752662516628,20.71141894775449
1996,7,206,24,3,0,1996-07-24 03:00:00,15.0,0.0,84.0,291.54999999999995,1.77876679452203,0.3388127227661,2.82016969475889,0.239592950031618,1996-07-24 10:00:00,10,206,21.42297615591707,19.88177631161424
1996,7,206,24,4,0,1996-07-24 04:00:00,89.0,0.0,90.0,291.34999999999997,1.8820574545201,0.209117494946678,2.27592642033174,0.253331896990988,1996-07-24 11:00:00,11,206,24.181069076362853,22.504238776140294
1996,7,206,24,5,0,1996-07-24 05:00:00,401.0,0.0,78.0,294.75,2.01362637436261,0.567945900461248,2.52330972688954,0.274204564715641,1996-07-24 12:00:00,12,206,18.927224434315928,17.451758226308886
1996,7,206,24,6,0,1996-07-24 06:00:00,595.0,0.0,64.0,297.25,1.92229715836345,1.08129215157944,1.78115980721614,0.263988107609474,1996-07-24 13:00:00,13,206,15.322763212290662,13.892888107358985
1996,7,206,24,7,0,1996-07-24 07:00:00,759.0,0.0,56.0,299.15,1.88351065775566,1.47990123109373,1.38534651672367,0.260314922529634,1996-07-24 14:00:00,14,206,13.467543422626065,12.047018766038805
1996,7,206,24,8,0,1996-07-24 08:00:00,880.0,0.0,53.0,300.45,1.92429219009134,1.70644779121308,1.23691653278899,0.26710695789298,1996-07-24 15:00:00,15,206,12.678117827452294,11.262271736378278
1996,7,206,24,9,0,1996-07-24 09:00:00,957.0,0.0,52.0,300.84999999999997,1.93264882680669,1.78398353243695,1.23691653278899,0.268624078589695,1996-07-24 16:00:00,16,206,12.421149699389655,11.007158231836712
1996,7,206,24,10,0,1996-07-24 10:00:00,969.0,0.0,50.0,301.75,1.95819264435135,1.95819264435135,1.53377650065835,0.272988699260055,1996-07-24 17:00:00,17,206,11.888861425031275,10.479119501224742
